AccType,ClientId,BeginDate,EndDate,BeginQ,EndQ,PD,LGD,"Interest rate",Status,Random,"Default function"
L,230,3,153,9600,10420,0.08,0.9,0.1435,Active,0.25,0.27082176691874
L,231,3,33,8900,8971.31,0.02,0.3,0.0673,Active,0.32,0.326464428808562
L,232,3,103,2500,2594.74,0.12,0.2,0.0955,Active,0.96,1.0823969775162
L,233,3,53,9500,9751.26,0.1,0.6,0.1333,Active,0.13,0.143672219349834
L,234,3,133,500,522.47,0.07,0.3,0.0871,Active,0.34,0.364652781626434
L,235,3,153,1600,1695.24,0.1,0.3,0.1,Active,0.55,0.607844004941606
L,236,3,153,8200,8510.43,0.01,0.3,0.0636,Active,0.07,0.0707035116958918
L,237,3,23,6500,6563.3,0.12,0.4,0.1227,Active,0.45,0.507373583210719
L,238,3,63,9700,9941.35,0.11,0.3,0.1045,Active,0.97,1.08278972834511
L,239,3,83,2400,2489.22,0.18,0.2,0.1171,Active,0.56,0.670441723348214
L,240,3,43,4200,4286.13,0.11,0.5,0.1292,Active,0.02,0.0223255614091774
L,241,3,23,5600,5659.42,0.17,0.3,0.1337,Active,0.8,0.948243881056292
L,242,3,33,9700,9841.69,0.12,0.4,0.1227,Active,0.34,0.383348929536988
L,243,3,33,9300,9429.42,0.11,0.4,0.1169,Active,0.99,1.10511528975428
L,244,3,153,4000,4264.52,0.1,0.4,0.1111,Active,0.64,0.707309387568415
L,245,3,53,4800,4885.24,0.05,0.5,0.0895,Active,0.38,0.399483016622889
L,246,3,43,8100,8298.26,0.17,0.4,0.1542,Active,0.61,0.723035959305423
L,247,3,33,9400,9532.72,0.14,0.3,0.1186,Active,0.2,0.230054759771445
L,248,3,113,6000,6250.64,0.06,0.5,0.0957,Active,0.33,0.350406060359969
L,249,3,133,700,732.1,0.1,0.2,0.0889,Active,0.23,0.254189311157399
L,250,3,103,8100,8566.39,0.09,0.8,0.1451,Active,0.36,0.393902742133876
L,251,3,23,6000,6083.19,0.17,0.5,0.1747,Active,0.11,0.13038353364524
L,252,3,143,1800,1864.6,0.01,0.4,0.0646,Active,0.4,0.404020066833667
L,253,3,43,2500,2575.95,0.19,0.5,0.1914,Active,0.65,0.786012238477213
L,254,3,103,4000,4294.76,0.16,0.6,0.1857,Active,0.16,0.18776173935869
L,255,3,43,4100,4144.25,0.03,0.2,0.068,Active,0.53,0.546140902995364
L,256,3,123,5200,5434.5,0.05,0.6,0.0947,Active,0.45,0.473071993369211
L,257,3,43,5400,5536.11,0.15,0.5,0.1588,Active,0.48,0.557680436509576
L,258,3,153,6400,6760.38,0.07,0.4,0.0946,Active,0.91,0.975982444941337
L,259,3,83,9300,9657.24,0.19,0.2,0.121,Active,0.73,0.882752206289794
L,260,3,153,4800,5060.86,0.08,0.3,0.0913,Active,0.43,0.465813439100232
L,261,3,43,7200,7272.69,0.01,0.3,0.0636,Active,0.13,0.131306521720942
L,262,3,103,400,429.16,0.14,0.7,0.1837,Active,0.04,0.0460109519542891
L,263,3,113,4400,4608.77,0.08,0.5,0.1087,Active,0.01,0.0108328706767496
L,264,3,63,2200,2255.16,0.05,0.8,0.1053,Active,0.46,0.483584704332971
L,265,3,123,4800,5016.23,0.07,0.4,0.0946,Active,0.19,0.203776554438301
L,266,3,83,2400,2450.06,0.01,0.5,0.0657,Active,0.78,0.787839130325651
L,267,3,53,5300,5414.73,0.12,0.3,0.1091,Active,0.82,0.924547418295088
L,268,3,73,9300,9715.92,0.18,0.4,0.161,Active,0.88,1.05355127954719
L,269,3,53,8400,8635.33,0.15,0.4,0.1412,Active,0.53,0.61577214864599
L,270,3,93,9100,9668.75,0.2,0.4,0.175,Active,0.14,0.170996386142424
L,271,3,53,6100,6248.51,0.12,0.4,0.1227,Active,0.02,0.0225499370315875
L,272,3,53,4400,4483.46,0.09,0.3,0.0956,Active,0.08,0.0875339426964168
L,273,3,113,1400,1448.64,0.07,0.2,0.0796,Active,0.22,0.235951799875928
L,274,3,33,9600,9752.34,0.1,0.6,0.1333,Active,0.57,0.629947423303119
L,275,3,123,9900,10626.94,0.17,0.4,0.1542,Active,0.57,0.675623765252608
L,276,4,54,9000,9163.75,0.04,0.7,0.0917,Active,0.69,0.718159434192748
L,277,4,104,5400,5634.64,0.16,0.2,0.1095,Active,0.68,0.797987392274431
L,278,4,24,3900,3973.76,0.19,0.7,0.2383,Active,0.23,0.278127407461168
L,279,4,124,4600,5000.64,0.18,0.5,0.1829,Active,0.98,1.17327301585937
L,280,4,144,4900,5117.23,0.11,0.1,0.0798,Active,0.98,1.09395250904969
L,281,4,54,200,204.85,0.1,0.5,0.1222,Active,0.43,0.475223494772529
L,282,4,104,4200,4415.33,0.11,0.5,0.1292,Active,0.97,1.08278972834511
L,283,4,54,1300,1325.79,0.08,0.4,0.1,Active,0.29,0.314153249625738
L,284,4,54,700,709.07,0.02,0.2,0.0653,Active,0.22,0.224444294805886
L,396,6,46,4100,4213.69,0.17,0.5,0.1747,Active,0.74,0.87712558997707
L,397,6,106,7800,8162.76,0.07,0.7,0.1172,Active,0.24,0.257401963501012
L,398,6,46,9000,9102,0.02,0.5,0.0714,Active,0.23,0.234646308206154
L,399,6,146,1300,1368.97,0.12,0.2,0.0955,Active,0.47,0.529923520242307
L,400,6,86,200,206.49,0.07,0.5,0.1022,Active,0.89,0.954532281316253
L,401,6,126,10000,10844.29,0.12,0.8,0.1773,Active,0.75,0.845622638684532
L,402,6,156,5500,5759.29,0.04,0.4,0.0792,Active,0.42,0.437140525160803
L,403,6,146,400,415.27,0.01,0.8,0.0687,Active,0.82,0.828241137009018
L,404,6,136,2900,3185.59,0.12,0.9,0.1909,Active,0.17,0.191674464768494
L,405,6,96,2300,2391.26,0.1,0.4,0.1111,Active,0.89,0.983602117087326
L,406,6,46,5900,5973.89,0.05,0.3,0.0789,Active,0.99,1.04075838541226
L,407,6,146,6700,7092.69,0.09,0.4,0.1055,Active,0.22,0.240718342415146
L,408,6,146,5800,6059.07,0.03,0.6,0.0804,Active,0.2,0.206090906790703
L,409,6,116,9200,10062.61,0.19,0.6,0.2148,Active,0.07,0.0846474718360076
L,410,6,86,9400,9979.22,0.15,0.7,0.1941,Active,0.82,0.952704079037192
L,411,6,146,3500,3825.5,0.14,0.6,0.1674,Active,0.75,0.862705349142921
L,412,6,26,6900,6938.94,0.03,0.3,0.0711,Active,0.95,0.978931807255841
L,413,6,76,7700,7866.41,0.1,0.1,0.0778,Active,0.96,1.06096408135262
L,414,6,76,9200,9569.02,0.19,0.3,0.1444,Active,0.13,0.157202447695443
L,415,6,156,4700,5045.51,0.15,0.3,0.1235,Active,0.62,0.720337230491536
L,416,6,36,900,916.07,0.12,0.6,0.15,Active,0.65,0.732872953526594
L,417,6,86,5100,5253.16,0.07,0.4,0.0946,Active,0.22,0.235951799875928
L,418,6,146,9200,9966.67,0.12,0.6,0.15,Active,0.98,1.10494691454779
L,419,6,46,3700,3769.65,0.14,0.3,0.1186,Active,1,1.15027379885723
L,420,6,66,8900,9212.77,0.16,0.4,0.1476,Active,0.77,0.903603370663694
L,421,6,96,7300,7584.44,0.12,0.3,0.1091,Active,0.47,0.529923520242307
L,422,6,26,8600,8702.38,0.2,0.3,0.15,Active,0.47,0.57405929633528
L,423,6,106,7100,7480.08,0.14,0.4,0.1349,Active,0.05,0.0575136899428614
L,424,6,96,6500,6720.77,0.18,0.1,0.0951,Active,0.64,0.766219112397958
L,425,6,36,5900,5979.93,0.13,0.3,0.1138,Active,0.2,0.227765676664924
L,426,6,136,8400,8871.03,0.08,0.5,0.1087,Active,0.14,0.151660189474494
L,427,6,126,4000,4359.05,0.13,0.8,0.1885,Active,0.4,0.455531353329849
L,428,6,76,5400,5651.85,0.19,0.4,0.1679,Active,0.14,0.169294943672015
L,429,6,36,4200,4247.35,0.05,0.6,0.0947,Active,0.99,1.04075838541226
L,430,6,46,4800,4872.15,0.05,0.6,0.0947,Active,0.86,0.904093142883381
L,431,6,46,4600,4660.82,0.04,0.5,0.0833,Active,0.45,0.468364848386575
L,432,6,66,3500,3596.17,0.09,0.5,0.1154,Active,0.73,0.798747227104804
L,433,6,106,2600,2766.11,0.18,0.4,0.161,Active,0.44,0.526775639773596
L,434,6,106,4500,4826.61,0.18,0.5,0.1829,Active,0.92,1.10143997407207
L,435,6,46,5500,5565.91,0.02,0.7,0.0755,Active,1,1.02020134002676
L,436,6,56,3800,3913.1,0.2,0.3,0.15,Active,0.7,0.854981930712119
L,437,6,156,8800,9498.24,0.1,0.6,0.1333,Active,0.79,0.873085025279762
L,438,6,156,7100,7400.48,0.03,0.3,0.0711,Active,0.15,0.154568180093028
L,439,6,46,3800,3839.63,0.01,0.5,0.0657,Active,0.6,0.606030100250501
L,440,6,156,6200,6697.85,0.14,0.4,0.1349,Active,0.75,0.862705349142921
L,441,6,96,5000,5182.32,0.06,0.6,0.1021,Active,0.2,0.212367309309072
L,442,6,86,4200,4336.27,0.07,0.5,0.1022,Active,0.81,0.868731626815915
L,443,6,66,7700,8018.27,0.13,0.7,0.1736,Active,1,1.13882838332462
L,444,6,136,6400,6695.16,0.06,0.4,0.0894,Active,0.58,0.615865196996309
L,445,6,86,2100,2188.87,0.1,0.6,0.1333,Active,0.97,1.07201579053338
L,446,6,86,2700,2826.51,0.16,0.4,0.1476,Active,0.99,1.16177576228189
L,447,6,106,7100,7369.07,0.12,0.2,0.0955,Active,0.99,1.11622188306358
L,448,6,106,8900,9517,0.17,0.5,0.1747,Active,0.22,0.26076706729048
L,449,6,116,3100,3200.41,0.03,0.4,0.0742,Active,0.83,0.855277263181419
L,450,6,66,6200,6397.37,0.17,0.3,0.1337,Active,0.54,0.640064619712997
L,451,6,26,8100,8147.7,0.03,0.4,0.0742,Active,0.89,0.91710453521863
L,452,6,146,4400,4553.02,0.01,0.2,0.0626,Active,0.9,0.909045150375751
L,453,6,46,9800,10024.62,0.19,0.3,0.1444,Active,0.03,0.0362774879297175
L,454,6,86,200,210.22,0.18,0.4,0.161,Active,0.55,0.658469549716996
L,455,6,26,3400,3433.81,0.09,0.6,0.1253,Active,0.31,0.339194027948615
L,456,6,116,8500,9334.82,0.2,0.6,0.225,Active,0.89,1.08704845476255
L,457,6,146,3200,3466.67,0.2,0.3,0.15,Active,0.34,0.415276937774458
L,458,6,36,6900,6983.87,0.06,0.6,0.1021,Active,0.31,0.329169329429061
L,459,6,136,1700,1853.47,0.2,0.4,0.175,Active,0.3,0.366420827448051
L,460,6,26,5000,5035.48,0.06,0.4,0.0894,Active,0.29,0.307932598498154
L,461,6,56,8600,8789.58,0.1,0.4,0.1111,Active,0.77,0.850981606918249
L,462,6,136,1200,1250.64,0.12,0.1,0.0818,Active,0.21,0.236774338831669
L,463,6,146,9600,11066.67,0.2,0.8,0.275,Active,0.58,0.708413599732898
L,464,6,66,9900,10189.22,0.12,0.4,0.1227,Active,0.48,0.5411984887581
L,465,6,56,9900,10094.27,0.13,0.2,0.0989,Active,0.49,0.558025907829065
L,466,6,96,5800,6128.53,0.13,0.6,0.1586,Active,0.34,0.387201650330371
L,467,6,156,1300,1349.21,0.01,0.3,0.0636,Active,0.12,0.1212060200501
L,468,6,146,3800,3932.16,0.01,0.2,0.0626,Active,0.86,0.868643143692384
L,469,6,106,8500,8711.15,0.01,0.2,0.0626,Active,0.32,0.323216053466934
L,470,6,36,2500,2538.27,0.16,0.3,0.1286,Active,0.39,0.457669239686806
L,471,6,36,4100,4190.64,0.16,0.6,0.1857,Active,0.04,0.0469404348396724
L,545,7,47,9500,9629.23,0.09,0.2,0.0857,Active,0.98,1.07229079803111
L,546,7,87,2600,2668.51,0.06,0.3,0.083,Active,0.58,0.615865196996309
L,547,7,27,9500,9576.98,0.06,0.6,0.1021,Active,0.25,0.26545913663634
L,548,7,147,6900,7139.97,0.01,0.2,0.0626,Active,0.31,0.313115551796092
L,549,7,157,7700,8010.29,0.01,0.7,0.0677,Active,0.23,0.232311538429359
L,550,7,127,1600,1771.43,0.2,0.6,0.225,Active,0.42,0.512989158427271
L,551,7,87,6800,7061.21,0.19,0.2,0.121,Active,0.17,0.205572431601733
L,552,7,117,6700,6896.83,0.02,0.3,0.0673,Active,0.95,0.969191273025418
L,553,7,107,9100,9457.14,0.13,0.2,0.0989,Active,0.5,0.569414191662311
L,554,7,77,4100,4194.87,0.04,0.5,0.0833,Active,0.57,0.593262141289661
L,555,7,77,7300,7492.03,0.05,0.6,0.0947,Active,0.69,0.725377056499457
L,556,7,87,7500,7689.52,0.07,0.2,0.0796,Active,0.41,0.439728354314229
L,557,7,127,6400,6781.87,0.09,0.6,0.1253,Active,0.42,0.459553199156188
L,558,7,157,7100,7416.96,0.04,0.3,0.075,Active,0.3,0.312243232257716
L,559,7,107,8100,8566.39,0.09,0.8,0.1451,Active,0.86,0.940989883986481
L,560,7,67,5200,5342.88,0.09,0.5,0.1154,Active,0.95,1.03946556951995
L,561,7,27,2500,2536.29,0.18,0.5,0.1829,Active,1,1.19721736312181
L,562,7,57,10000,10420.24,0.15,0.8,0.2118,Active,0.79,0.917849051755344
L,563,7,37,1200,1216.7,0.11,0.4,0.1169,Active,0.67,0.747906307207444
L,564,7,57,300,309.92,0.16,0.5,0.1667,Active,0.74,0.86839804453394
L,565,7,77,800,850.4,0.18,0.7,0.2268,Active,0.49,0.586636507929687
L,566,7,157,8900,9827.08,0.2,0.4,0.175,Active,0.17,0.207638468887229
L,567,7,27,1200,1210.84,0.13,0.3,0.1138,Active,0.35,0.398589934163618
L,568,7,107,3200,3344.51,0.13,0.3,0.1138,Active,0.73,0.831344719826974
L,569,7,157,4200,4637.5,0.2,0.4,0.175,Active,0.25,0.305350689540042
L,570,7,107,7800,8152.24,0.13,0.3,0.1138,Active,0.35,0.398589934163618
L,571,7,97,6700,7417.86,0.2,0.9,0.3,Active,0.91,1.11147650992575
L,572,7,117,7700,8233.74,0.15,0.5,0.1588,Active,0.11,0.127801766700111
L,573,7,37,4200,4277.1,0.17,0.4,0.1542,Active,0.93,1.10233351172794
L,574,7,57,9100,9332.38,0.13,0.4,0.1287,Active,0.49,0.558025907829065
L,575,7,157,8700,9174.88,0.04,0.7,0.0917,Active,0.65,0.676527003225052
L,576,7,27,7600,7645.24,0.04,0.3,0.075,Active,0.98,1.01999455870854
L,577,7,117,500,517.22,0.05,0.3,0.0789,Active,0.66,0.693838923608176
L,578,7,27,9200,9285.36,0.11,0.4,0.1169,Active,0.02,0.0223255614091774
L,579,7,147,6800,7177.78,0.1,0.3,0.1,Active,0.87,0.961498698725814
L,580,7,37,9500,9603.26,0.08,0.3,0.0913,Active,0.9,0.974958360907463
L,581,7,37,8500,8605.74,0.11,0.3,0.1045,Active,0.95,1.06046416693593
L,582,7,47,6600,6714.92,0.07,0.6,0.1097,Active,0.85,0.911631954066084
L,583,7,87,1000,1027.65,0.07,0.3,0.0871,Active,0.16,0.171601309000675
L,584,7,117,7300,7813.03,0.18,0.4,0.161,Active,0.11,0.131693909943399
L,585,7,107,4100,4245.45,0.06,0.4,0.0894,Active,0.53,0.562773369669041
L,586,7,87,700,721.98,0.13,0.2,0.0989,Active,0.85,0.968004125825928
L,587,7,27,2600,2627.59,0.17,0.3,0.1337,Active,0.62,0.734889007818627
L,588,7,77,8400,8692.37,0.09,0.6,0.1253,Active,0.4,0.437669713482084
L,589,7,97,7500,7901.79,0.2,0.3,0.15,Active,0.17,0.207638468887229
L,590,7,147,3500,3705.14,0.09,0.4,0.1055,Active,0.17,0.186009628229886
L,591,7,117,4800,5189.09,0.16,0.6,0.1857,Active,0.51,0.598490544205823
L,592,7,157,2100,2218.25,0.07,0.4,0.0946,Active,0.36,0.386102945251518
L,593,7,137,3800,3975.45,0.05,0.5,0.0895,Active,0.15,0.157690664456404
L,594,7,97,3900,4096.67,0.15,0.4,0.1412,Active,0.41,0.476352039518596
L,595,7,47,5900,5966.59,0.03,0.3,0.0711,Active,0.66,0.680099992409321
L,596,7,67,800,820.78,0.12,0.3,0.1091,Active,0.8,0.901997481263501
L,688,8,28,9700,9758.12,0.02,0.7,0.0755,Active,0.75,0.765151005020067
L,689,8,58,3500,3573.26,0.09,0.4,0.1055,Active,0.2,0.218834856741042
L,690,8,98,800,877.34,0.18,0.9,0.2707,Active,0.52,0.622553028823341
L,691,8,128,8400,8684.4,0.03,0.3,0.0711,Active,0.67,0.690404537748856
L,692,8,58,9000,9208.75,0.11,0.4,0.1169,Active,0.58,0.647441280866145
L,693,8,68,10000,10238.1,0.08,0.4,0.1,Active,0.96,1.03995558496796
L,694,8,158,800,850.24,0.09,0.4,0.1055,Active,0.95,1.03946556951995
L,695,8,118,7100,7321.28,0.02,0.5,0.0714,Active,0.37,0.3774744958099
L,696,8,78,4700,4816.85,0.05,0.5,0.0895,Active,0.89,0.935631275774661
L,697,8,48,7900,7989.16,0.03,0.3,0.0711,Active,0.98,1.00984544327445
L,698,8,68,7900,8061.2,0.09,0.2,0.0857,Active,0.18,0.196951371066938
L,699,8,38,9400,9522.54,0.16,0.2,0.1095,Active,0.67,0.786252283564513
L,700,8,108,5000,5344.44,0.13,0.7,0.1736,Active,0.25,0.284707095831155
L,701,8,148,5500,5792.42,0.06,0.5,0.0957,Active,0.27,0.286695867567247
L,702,8,78,8000,8148.22,0.01,0.6,0.0667,Active,0.71,0.717135618629759
L,703,8,158,9700,10216.18,0.06,0.4,0.0894,Active,0.56,0.594628466065401
L,704,8,78,2500,2589.31,0.16,0.3,0.1286,Active,0.63,0.73931184872484
L,705,8,158,3500,3794.17,0.15,0.4,0.1412,Active,0.61,0.708718888064253
L,706,8,148,7000,7651,0.14,0.6,0.1674,Active,0.01,0.0115027379885723
L,707,8,28,3100,3115.65,0.01,0.3,0.0636,Active,0.39,0.393919565162826
L,708,8,158,1000,1038.87,0.02,0.2,0.0653,Active,0.33,0.336666442208829
L,709,8,118,2300,2444.07,0.08,0.9,0.1435,Active,0.37,0.400816215039735
L,710,8,68,1500,1531.5,0.15,0.1,0.0882,Active,0.57,0.662245518355121
L,711,8,128,6700,6985.23,0.06,0.4,0.0894,Active,0.84,0.891942699098102
L,729,9,59,5800,5977.45,0.17,0.4,0.1542,Active,0.68,0.806007298897849
L,730,9,69,8000,8318.86,0.14,0.6,0.1674,Active,0.51,0.586639637417186
L,731,9,39,7000,7107.67,0.11,0.5,0.1292,Active,0.2,0.223255614091774
L,732,9,49,5300,5352.66,0.01,0.2,0.0626,Active,0.44,0.444422073517034
L,733,9,59,2300,2329.02,0.01,0.3,0.0636,Active,0.21,0.212110535087675
L,734,9,49,2400,2424.61,0.01,0.4,0.0646,Active,0.1,0.101005016708417
L,735,9,49,4200,4325.67,0.13,0.8,0.1885,Active,0.9,1.02494554499216
L,736,9,89,6200,6386.39,0.05,0.6,0.0947,Active,0.5,0.525635548188012
L,737,9,69,9000,9191.57,0.06,0.4,0.0894,Active,0.98,1.04059981561445
L,738,9,109,2100,2211.08,0.1,0.6,0.1333,Active,0.19,0.209982474434373
L,739,9,49,2600,2651.71,0.09,0.6,0.1253,Active,0.99,1.08323254086816
L,740,9,89,900,929.2,0.07,0.5,0.1022,Active,0.73,0.782930972315578
L,741,9,89,3200,3280.46,0.04,0.4,0.0792,Active,0.95,0.988770235482769
L,742,9,109,2400,2479.05,0.06,0.3,0.083,Active,0.13,0.138038751050897
L,743,9,139,1600,1696.65,0.18,0.2,0.1171,Active,0.89,1.06552345317841
